"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\books_app.dart", "Dart", 56, 1, 6, 63
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\common\enums\language_type.dart", "Dart", 11, 0, 2, 13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\common\enums\password_strength.dart", "Dart", 1, 0, 2, 3
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\common\type_def\typesdef.dart", "Dart", 10, 4, 8, 22
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\app_constants.dart", "Dart", 96, 12, 18, 126
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\app_strings.dart", "Dart", 18, 2, 2, 22
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\assets.dart", "Dart", 4, 0, 1, 5
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\endpoints.dart", "Dart", 20, 2, 2, 24
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\di\service_locator.dart", "Dart", 123, 26, 21, 170
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\errors\exception.dart", "Dart", 8, 3, 4, 15
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\errors\failure.dart", "Dart", 13, 0, 2, 15
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\l10n\app_localizations.dart", "Dart", 50, 72, 20, 142
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\l10n\app_localizations_ar.dart", "Dart", 9, 3, 5, 17
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\l10n\app_localizations_en.dart", "Dart", 9, 3, 5, 17
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\api_service.dart", "Dart", 44, 1, 9, 54
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\check_internet.dart", "Dart", 5, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\dio_error_handler.dart", "Dart", 34, 2, 8, 44
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\execute_request.dart", "Dart", 23, 4, 9, 36
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\initial_dio.dart", "Dart", 60, 4, 7, 71
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\routes\appRouters.dart", "Dart", 58, 4, 3, 65
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\routes\authGuard.dart", "Dart", 25, 4, 7, 36
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\routes\navigatorKey.dart", "Dart", 2, 5, 2, 9
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\routes\paths_routes.dart", "Dart", 9, 0, 3, 12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\services\pdf_service.dart", "Dart", 36, 1, 9, 46
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\animation.dart", "Dart", 0, 0, 1, 1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\app_dimensions.dart", "Dart", 0, 0, 1, 1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\app_shadows.dart", "Dart", 34, 5, 6, 45
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\colors.dart", "Dart", 41, 14, 14, 69
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\styles.dart", "Dart", 88, 4, 17, 109
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\theme.dart", "Dart", 126, 17, 13, 156
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\userCases\no_param_use_case.dart", "Dart", 5, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\userCases\use_case.dart", "Dart", 5, 0, 2, 7
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\userCases\usecase.dart", "Dart", 6, 0, 3, 9
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\bloc_observer.dart", "Dart", 21, 4, 6, 31
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\cache\shared_pref.dart", "Dart", 39, 21, 15, 75
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\cubits\locale_cubit.dart", "Dart", 9, 0, 3, 12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\cubits\theme_cubit.dart", "Dart", 25, 0, 4, 29
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\functions\app_bloc_providers.dart", "Dart", 55, 0, 4, 59
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\functions\getDomainColor.dart", "Dart", 8, 1, 2, 11
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\functions\pdf_viewer_helper.dart", "Dart", 47, 5, 5, 57
