"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\books_app.dart", "Dart", 5, 0, 0, 5
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\app_constants.dart", "Dart", 9, 2, 1, 12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\constants\endpoints.dart", "Dart", 3, 0, 0, 3
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\di\service_locator.dart", "Dart", 33, 9, -3, 39
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\errors\failure.dart", "Dart", 3, 0, 0, 3
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\l10n\locale_cubit.dart", "Dart", -9, 0, -3, -12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\api_service.dart", "Dart", 23, 0, -2, 21
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\network\execute_request.dart", "Dart", 5, 0, 0, 5
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\routes\appRouters.dart", "Dart", 14, 0, 0, 14
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\routes\paths_routes.dart", "Dart", 1, 0, 0, 1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\services\pdf_service.dart", "Dart", 36, 1, 9, 46
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\theme\styles.dart", "Dart", 6, 0, 1, 7
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\cubits\locale_cubit.dart", "Dart", 9, 0, 3, 12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\cubits\theme_cubit.dart", "Dart", 25, 0, 4, 29
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\functions\app_bloc_providers.dart", "Dart", 15, 0, 0, 15
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\hive\hive_data.dart", "Dart", 31, 5, 7, 43
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\hive\hive_setup.dart", "Dart", 1, 0, 0, 1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\hive\init_hive.dart", "Dart", 2, 0, 0, 2
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\utils\hive\save_books.dart", "Dart", -7, -3, -3, -13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\loading\banner_shimmer.dart", "Dart", 18, 0, 3, 21
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\loading\book_grid_shimmer.dart", "Dart", 48, 0, 3, 51
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\loading\book_list_shimmer.dart", "Dart", 48, 3, 3, 54
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\loading\quick_read_shimmer.dart", "Dart", 64, 2, 4, 70
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\loading\shimmer_loading.dart", "Dart", 39, 0, 6, 45
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\loading\trending_list_shimmer.dart", "Dart", 68, 2, 3, 73
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\shared\placeholderForNotSelectedItem.dart", "Dart", 3, 0, 2, 5
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\core\widgets\shared\textFormField.dart", "Dart", -31, -11, -6, -48
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\data\data_sources\home_local_data_source.dart", "Dart", -18, -1, -11, -30
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\data\models\books_model.dart", "Dart", 178, 9, 24, 211
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\data\models\books_model.g.dart", "Dart", 66, 4, 8, 78
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\data\models\books_model\books_model.dart", "Dart", -101, -9, -12, -122
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\domain\entity\book_entity.dart", "Dart", -11, -1, 2, -10
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\domain\entity\book_entity.g.dart", "Dart", -63, -4, -8, -75
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\CardDotedCubit\card_doted_cubit.dart", "Dart", -9, 0, -4, -13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\CardDotedCubit\card_doted_state.dart", "Dart", -8, 0, -5, -13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\card_doted_cubit.dart", "Dart", 7, 1, 2, 10
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\navigate_cubit.dart", "Dart", 8, 0, 5, 13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\navigationCubit\navigate_cubit.dart", "Dart", -9, 0, -5, -14
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\navigationCubit\navigate_state.dart", "Dart", -8, 0, -4, -12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\manager\selected_book_cubit.dart", "Dart", 0, -1, 0, -1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\screens\details_page.dart", "Dart", 19, -2, -4, 13
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\screens\layouts\mobile_layout.dart", "Dart", 24, 0, 1, 25
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\screens\pdf_viewer_page.dart", "Dart", 284, 19, 21, 324
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\screens\sideBar.dart", "Dart", 12, -1, 1, 12
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\appbar_widget.dart", "Dart", 62, -12, -2, 48
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\details_page_widgets\buildBottomAction.dart", "Dart", 57, 1, 8, 66
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\BannerCard.dart", "Dart", -156, -14, -9, -179
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\NewBookCard.dart", "Dart", 19, 3, 2, 24
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\NewBooksConsumer.dart", "Dart", -1, 0, 0, -1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\QuickReadBookCard.dart", "Dart", 139, 11, 20, 170
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\QuickReadBooksConsumer.dart", "Dart", -1, 0, 0, -1
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\QuickReadCard.dart", "Dart", -110, -9, -12, -131
"c:\Users\Bashar Al-himyary\Desktop\All Project\flutter\clean_architecture\lib\features\home\presentaion\presentaion\widgets\home_page_widgets\TopRatedBookCard.dart", "Dart", 125, 5, 6, 136
